bucket,condition,persona_id,risk_tier,source_rank,source_top1,source_top3,source_uncertain,source_signals,model,run_name,condition_label,bucket_label,top_signals_json,signal_labels,role_signal,location_signal,institution_signal,rare_event_signal,schedule_signal,family_signal,would_match_without_role,would_match_without_location,residual_risk_category,residual_risk_summary,utility_loss_summary,confidence,explanation_uncertain,raw_text
direct_success,c1_direct_redaction,P0002,T3,1,1,1,False,"[""location"", ""role"", ""schedule""]",gpt-5.5,gpt55_evidence_24p,C1 direct redaction,Direct-redaction successful match,"[{""evidence"": ""tenant advocate at a municipal agency"", ""signal"": ""role"", ""specificity"": ""high""}, {""evidence"": ""located in Tucson"", ""signal"": ""location"", ""specificity"": ""medium""}, {""evidence"": ""early-morning bus route"", ""signal"": ""schedule"", ""specificity"": ""high""}, {""evidence"": ""caregiver for an older parent"", ""signal"": ""family"", ""specificity"": ""medium""}, {""evidence"": ""wildfire evacuation volunteer shift"", ""signal"": ""rare_event"", ""specificity"": ""high""}]",role|location|schedule|family|rare_event,1,1,0,1,1,1,True,True,role_location,"Direct identifiers are removed, but repeated role, location, schedule, family, and event details still support cross-document linkage.","Contact and account fields are redacted, reducing operational follow-up while preserving contextual case details.",0.96,False,"{
  ""top_signals"": [
    {
      ""signal"": ""role"",
      ""evidence"": ""tenant advocate at a municipal agency"",
      ""specificity"": ""high""
    },
    {
      ""signal"": ""location"",
      ""evidence"": ""located in Tucson"",
      ""specificity"": ""medium""
    },
    {
      ""signal"": ""schedule"",
      ""evidence"": ""early-morning bus route"",
      ""specificity"": ""high""
    },
    {
      ""signal"": ""family"",
      ""evidence"": ""caregiver for an older parent"",
      ""specificity"": ""medium""
    },
    {
      ""signal"": ""rare_event"",
      ""evidence"": ""wildfire evacuation volunteer shift"",
      ""specificity"": ""high""
    }
  ],
  ""would_match_without_role"": true,
  ""would_match_without_location"": true,
  ""residual_risk_category"": ""role_location"",
  ""residual_risk_summary"": ""Direct identifiers are removed, but repeated role, location, schedule, family, and event details still support cross-document linkage."",
  ""utility_loss_summary"": ""Contact and account fields are redacted, reducing operational follow-up while preserving contextual case details."",
  ""confidence"": 0.96,
  ""uncertain"": false
}"
direct_success,c1_direct_redaction,P0005,T3,1,1,1,False,"[""role"", ""location"", ""medical""]",gpt-5.5,gpt55_evidence_24p,C1 direct redaction,Direct-redaction successful match,"[{""evidence"": ""tenant advocate at a credit union"", ""signal"": ""role"", ""specificity"": ""high""}, {""evidence"": ""located in Green Bay"", ""signal"": ""location"", ""specificity"": ""medium""}, {""evidence"": ""diabetes medication management"", ""signal"": ""medical"", ""specificity"": ""high""}, {""evidence"": ""split custody weekends"", ""signal"": ""schedule"", ""specificity"": ""high""}, {""evidence"": ""parent of twins"", ""signal"": ""family"", ""specificity"": ""high""}]",role|location|medical|schedule|family,1,1,0,0,1,1,True,True,role_location,"Direct identifiers are removed, but distinctive role, location, medical, schedule, and family details still support cross-document linkage.","Direct contact fields are unavailable, but contextual content remains useful for service triage and case understanding.",0.93,False,"{
  ""top_signals"": [
    {
      ""signal"": ""role"",
      ""evidence"": ""tenant advocate at a credit union"",
      ""specificity"": ""high""
    },
    {
      ""signal"": ""location"",
      ""evidence"": ""located in Green Bay"",
      ""specificity"": ""medium""
    },
    {
      ""signal"": ""medical"",
      ""evidence"": ""diabetes medication management"",
      ""specificity"": ""high""
    },
    {
      ""signal"": ""schedule"",
      ""evidence"": ""split custody weekends"",
      ""specificity"": ""high""
    },
    {
      ""signal"": ""family"",
      ""evidence"": ""parent of twins"",
      ""specificity"": ""high""
    }
  ],
  ""would_match_without_role"": true,
  ""would_match_without_location"": true,
  ""residual_risk_category"": ""role_location"",
  ""residual_risk_summary"": ""Direct identifiers are removed, but distinctive role, location, medical, schedule, and family details still support cross-document linkage."",
  ""utility_loss_summary"": ""Direct contact fields are unavailable, but contextual content remains useful for service triage and case understanding."",
  ""confidence"": 0.93,
  ""uncertain"": false
}"
direct_success,c1_direct_redaction,P0008,T3,1,1,1,False,"[""role"", ""location"", ""rare_event""]",gpt-5.5,gpt55_evidence_24p,C1 direct redaction,Direct-redaction successful match,"[{""evidence"": ""municipal water inspector at a county legal aid office"", ""signal"": ""role"", ""specificity"": ""high""}, {""evidence"": ""located in Durham"", ""signal"": ""location"", ""specificity"": ""medium""}, {""evidence"": ""robotics vendor breach"", ""signal"": ""rare_event"", ""specificity"": ""high""}, {""evidence"": ""night shifts"", ""signal"": ""schedule"", ""specificity"": ""medium""}, {""evidence"": ""caregiver for an older parent"", ""signal"": ""family"", ""specificity"": ""medium""}]",role|location|rare_event|schedule|family,1,1,0,1,1,1,True,True,rare_event,"Direct identifiers are removed, but rare event plus role, schedule, caregiving, and Durham still support cross-document linkage.","Contact fields and account identifiers are unavailable, but contextual case details remain useful for analysis.",0.95,False,"{""top_signals"":[{""signal"":""role"",""evidence"":""municipal water inspector at a county legal aid office"",""specificity"":""high""},{""signal"":""location"",""evidence"":""located in Durham"",""specificity"":""medium""},{""signal"":""rare_event"",""evidence"":""robotics vendor breach"",""specificity"":""high""},{""signal"":""schedule"",""evidence"":""night shifts"",""specificity"":""medium""},{""signal"":""family"",""evidence"":""caregiver for an older parent"",""specificity"":""medium""}],""would_match_without_role"":true,""would_match_without_location"":true,""residual_risk_category"":""rare_event"",""residual_risk_summary"":""Direct identifiers are removed, but rare event plus role, schedule, caregiving, and Durham still support cross-document linkage."",""utility_loss_summary"":""Contact fields and account identifiers are unavailable, but contextual case details remain useful for analysis."",""confidence"":0.95,""uncertain"":false}"
direct_success,c1_direct_redaction,P0011,T3,1,1,1,False,"[""role"", ""location"", ""rare_event""]",gpt-5.5,gpt55_evidence_24p,C1 direct redaction,Direct-redaction successful match,"[{""evidence"": ""benefits caseworker at a veterans clinic"", ""signal"": ""role"", ""specificity"": ""high""}, {""evidence"": ""located in Duluth"", ""signal"": ""location"", ""specificity"": ""medium""}, {""evidence"": ""recover funds after a robotics vendor breach"", ""signal"": ""rare_event"", ""specificity"": ""high""}, {""evidence"": ""split custody weekends"", ""signal"": ""schedule"", ""specificity"": ""medium""}, {""evidence"": ""regional chess club"", ""signal"": ""affiliation"", ""specificity"": ""medium""}]",role|location|rare_event|schedule|affiliation,1,1,0,1,1,0,True,True,rare_event,"Direct identifiers are removed, but rare event, role-institution, schedule, and location still support linkage to the auxiliary profile.","Contact details and account identifiers are unavailable, but contextual case facts remain highly useful.",0.96,False,"{
  ""top_signals"": [
    {
      ""signal"": ""role"",
      ""evidence"": ""benefits caseworker at a veterans clinic"",
      ""specificity"": ""high""
    },
    {
      ""signal"": ""location"",
      ""evidence"": ""located in Duluth"",
      ""specificity"": ""medium""
    },
    {
      ""signal"": ""rare_event"",
      ""evidence"": ""recover funds after a robotics vendor breach"",
      ""specificity"": ""high""
    },
    {
      ""signal"": ""schedule"",
      ""evidence"": ""split custody weekends"",
      ""specificity"": ""medium""
    },
    {
      ""signal"": ""affiliation"",
      ""evidence"": ""regional chess club"",
      ""specificity"": ""medium""
    }
  ],
  ""would_match_without_role"": true,
  ""would_match_without_location"": true,
  ""residual_risk_category"": ""rare_event"",
  ""residual_risk_summary"": ""Direct identifiers are removed, but rare event, role-institution, schedule, and location still support linkage to the auxiliary profile."",
  ""utility_loss_summary"": ""Contact details and account identifiers are unavailable, but contextual case facts remain highly useful."",
  ""confidence"": 0.96,
  ""uncertain"": false
}"
direct_success,c1_direct_redaction,P0001,T2,1,1,1,False,"[""location"", ""institution"", ""schedule""]",gpt-5.5,gpt55_evidence_24p,C1 direct redaction,Direct-redaction successful match,"[{""evidence"": ""Mesa in the Southwest"", ""signal"": ""location"", ""specificity"": ""high""}, {""evidence"": ""at a veterans clinic"", ""signal"": ""institution"", ""specificity"": ""high""}, {""evidence"": ""transportation schedule constraint"", ""signal"": ""schedule"", ""specificity"": ""medium""}, {""evidence"": ""family caregiving responsibility"", ""signal"": ""family"", ""specificity"": ""medium""}, {""evidence"": ""chronic health condition"", ""signal"": ""medical"", ""specificity"": ""medium""}]",location|institution|schedule|family|medical,0,1,1,0,1,1,True,True,role_location,"Redaction removed direct identifiers, but location, workplace institution, schedule, family, and medical context still support linkage.",Direct contact and account details are removed; contextual utility remains for cross-document analysis.,0.93,False,"{""top_signals"":[{""signal"":""location"",""evidence"":""Mesa in the Southwest"",""specificity"":""high""},{""signal"":""institution"",""evidence"":""at a veterans clinic"",""specificity"":""high""},{""signal"":""schedule"",""evidence"":""transportation schedule constraint"",""specificity"":""medium""},{""signal"":""family"",""evidence"":""family caregiving responsibility"",""specificity"":""medium""},{""signal"":""medical"",""evidence"":""chronic health condition"",""specificity"":""medium""}],""would_match_without_role"":true,""would_match_without_location"":true,""residual_risk_category"":""role_location"",""residual_risk_summary"":""Redaction removed direct identifiers, but location, workplace institution, schedule, family, and medical context still support linkage."",""utility_loss_summary"":""Direct contact and account details are removed; contextual utility remains for cross-document analysis."",""confidence"":0.93,""uncertain"":false}"
direct_success,c1_direct_redaction,P0004,T2,1,1,1,False,"[""role"", ""location"", ""institution""]",gpt-5.5,gpt55_evidence_24p,C1 direct redaction,Direct-redaction successful match,"[{""evidence"": ""work as a legal worker"", ""signal"": ""role"", ""specificity"": ""high""}, {""evidence"": ""Providence in the Northeast"", ""signal"": ""location"", ""specificity"": ""high""}, {""evidence"": ""nonprofit housing center"", ""signal"": ""institution"", ""specificity"": ""high""}, {""evidence"": ""ongoing treatment schedule"", ""signal"": ""schedule"", ""specificity"": ""medium""}, {""evidence"": ""family scheduling constraint"", ""signal"": ""family"", ""specificity"": ""medium""}]",role|location|institution|schedule|family,1,1,1,0,1,1,True,True,role_location,"Direct identifiers are removed, but repeated role, location, institution, treatment schedule, and family scheduling cues support linkage across documents.","Names, contact details, addresses, and account identifiers are redacted, reducing direct contact and account-specific utility.",0.9,False,"{
  ""top_signals"": [
    {
      ""signal"": ""role"",
      ""evidence"": ""work as a legal worker"",
      ""specificity"": ""high""
    },
    {
      ""signal"": ""location"",
      ""evidence"": ""Providence in the Northeast"",
      ""specificity"": ""high""
    },
    {
      ""signal"": ""institution"",
      ""evidence"": ""nonprofit housing center"",
      ""specificity"": ""high""
    },
    {
      ""signal"": ""schedule"",
      ""evidence"": ""ongoing treatment schedule"",
      ""specificity"": ""medium""
    },
    {
      ""signal"": ""family"",
      ""evidence"": ""family scheduling constraint"",
      ""specificity"": ""medium""
    }
  ],
  ""would_match_without_role"": true,
  ""would_match_without_location"": true,
  ""residual_risk_category"": ""role_location"",
  ""residual_risk_summary"": ""Direct identifiers are removed, but repeated role, location, institution, treatment schedule, and family scheduling cues support linkage across documents."",
  ""utility_loss_summary"": ""Names, contact details, addresses, and account identifiers are redacted, reducing direct contact and account-specific utility."",
  ""confidence"": 0.9,
  ""uncertain"": false
}"
direct_success,c1_direct_redaction,P0007,T2,1,1,1,False,"[""location"", ""institution"", ""family""]",gpt-5.5,gpt55_evidence_24p,C1 direct redaction,Direct-redaction successful match,"[{""evidence"": ""Reno in the Mountain West"", ""signal"": ""location"", ""specificity"": ""high""}, {""evidence"": ""retail healthcare worker"", ""signal"": ""role"", ""specificity"": ""medium""}, {""evidence"": ""public school district"", ""signal"": ""institution"", ""specificity"": ""medium""}, {""evidence"": ""childcare responsibilities"", ""signal"": ""family"", ""specificity"": ""medium""}, {""evidence"": ""chronic health condition"", ""signal"": ""medical"", ""specificity"": ""low""}]",location|role|institution|family|medical,1,1,1,0,0,1,True,True,role_location,"Direct identifiers are removed, but shared location, role, institution, family constraints, and medical context still support linkage.","Names, contact details, address, and account identifiers are removed, while contextual request details remain usable.",0.87,False,"{
  ""top_signals"": [
    {
      ""signal"": ""location"",
      ""evidence"": ""Reno in the Mountain West"",
      ""specificity"": ""high""
    },
    {
      ""signal"": ""role"",
      ""evidence"": ""retail healthcare worker"",
      ""specificity"": ""medium""
    },
    {
      ""signal"": ""institution"",
      ""evidence"": ""public school district"",
      ""specificity"": ""medium""
    },
    {
      ""signal"": ""family"",
      ""evidence"": ""childcare responsibilities"",
      ""specificity"": ""medium""
    },
    {
      ""signal"": ""medical"",
      ""evidence"": ""chronic health condition"",
      ""specificity"": ""low""
    }
  ],
  ""would_match_without_role"": true,
  ""would_match_without_location"": true,
  ""residual_risk_category"": ""role_location"",
  ""residual_risk_summary"": ""Direct identifiers are removed, but shared location, role, institution, family constraints, and medical context still support linkage."",
  ""utility_loss_summary"": ""Names, contact details, address, and account identifiers are removed, while contextual request details remain usable."",
  ""confidence"": 0.87,
  ""uncertain"": false
}"
direct_success,c1_direct_redaction,P0010,T2,1,1,1,False,"[""location"", ""institution"", ""schedule""]",gpt-5.5,gpt55_evidence_24p,C1 direct redaction,Direct-redaction successful match,"[{""evidence"": ""Mesa in the Southwest"", ""signal"": ""location"", ""specificity"": ""high""}, {""evidence"": ""nonprofit housing center"", ""signal"": ""institution"", ""specificity"": ""high""}, {""evidence"": ""education schedule constraint"", ""signal"": ""schedule"", ""specificity"": ""medium""}, {""evidence"": ""family scheduling responsibility"", ""signal"": ""family"", ""specificity"": ""medium""}, {""evidence"": ""ongoing treatment schedule"", ""signal"": ""medical"", ""specificity"": ""medium""}]",location|institution|schedule|family|medical,0,1,1,0,1,1,True,True,role_location,"Redaction removed direct identifiers, but shared location, institution, role, treatment, and schedule constraints still support linkage across documents.","Direct contact details and account identifiers are removed, reducing identity utility while preserving contextual case information.",0.88,False,"{""top_signals"":[{""signal"":""location"",""evidence"":""Mesa in the Southwest"",""specificity"":""high""},{""signal"":""institution"",""evidence"":""nonprofit housing center"",""specificity"":""high""},{""signal"":""schedule"",""evidence"":""education schedule constraint"",""specificity"":""medium""},{""signal"":""family"",""evidence"":""family scheduling responsibility"",""specificity"":""medium""},{""signal"":""medical"",""evidence"":""ongoing treatment schedule"",""specificity"":""medium""}],""would_match_without_role"":true,""would_match_without_location"":true,""residual_risk_category"":""role_location"",""residual_risk_summary"":""Redaction removed direct identifiers, but shared location, institution, role, treatment, and schedule constraints still support linkage across documents."",""utility_loss_summary"":""Direct contact details and account identifiers are removed, reducing identity utility while preserving contextual case information."",""confidence"":0.88,""uncertain"":false}"
linkguard_residual,c5_linkguard,P0002,T3,1,1,1,True,"[""medical"", ""legal"", ""financial""]",gpt-5.5,gpt55_evidence_24p,C5 LinkGuard,LinkGuard residual match,"[{""evidence"": ""contact fields are bracketed placeholders"", ""signal"": ""information_removed"", ""specificity"": ""high""}, {""evidence"": ""medical, legal, financial, and HR contexts"", ""signal"": ""coarse_context"", ""specificity"": ""medium""}, {""evidence"": ""family responsibility affects timing"", ""signal"": ""family"", ""specificity"": ""low""}, {""evidence"": ""availability constraint"", ""signal"": ""schedule"", ""specificity"": ""low""}, {""evidence"": ""chronic health condition"", ""signal"": ""medical"", ""specificity"": ""low""}]",information_removed|coarse_context|family|schedule|medical,0,0,0,0,1,1,,,coarse_context_only,"Linkage rests on broad repeated contexts, not unique identifiers; role and location are generalized, limiting confidence.","Direct identifiers and distinctive profile details were removed, reducing linkage and domain-specific interpretability.",0.68,True,"{
  ""top_signals"": [
    {
      ""signal"": ""information_removed"",
      ""evidence"": ""contact fields are bracketed placeholders"",
      ""specificity"": ""high""
    },
    {
      ""signal"": ""coarse_context"",
      ""evidence"": ""medical, legal, financial, and HR contexts"",
      ""specificity"": ""medium""
    },
    {
      ""signal"": ""family"",
      ""evidence"": ""family responsibility affects timing"",
      ""specificity"": ""low""
    },
    {
      ""signal"": ""schedule"",
      ""evidence"": ""availability constraint"",
      ""specificity"": ""low""
    },
    {
      ""signal"": ""medical"",
      ""evidence"": ""chronic health condition"",
      ""specificity"": ""low""
    }
  ],
  ""would_match_without_role"": null,
  ""would_match_without_location"": null,
  ""residual_risk_category"": ""coarse_context_only"",
  ""residual_risk_summary"": ""Linkage rests on broad repeated contexts, not unique identifiers; role and location are generalized, limiting confidence."",
  ""utility_loss_summary"": ""Direct identifiers and distinctive profile details were removed, reducing linkage and domain-specific interpretability."",
  ""confidence"": 0.68,
  ""uncertain"": true
}"
linkguard_residual,c5_linkguard,P0005,T3,1,1,1,True,"[""medical"", ""financial"", ""legal""]",gpt-5.5,gpt55_evidence_24p,C5 LinkGuard,LinkGuard residual match,"[{""evidence"": ""contact placeholders replace direct identifiers"", ""signal"": ""information_removed"", ""specificity"": ""high""}, {""evidence"": ""chronic health condition"", ""signal"": ""medical"", ""specificity"": ""low""}, {""evidence"": ""availability constraint"", ""signal"": ""schedule"", ""specificity"": ""low""}, {""evidence"": ""family responsibility affects timing"", ""signal"": ""family"", ""specificity"": ""low""}, {""evidence"": ""benefits appeal connected to education legal issue"", ""signal"": ""legal"", ""specificity"": ""medium""}]",information_removed|medical|schedule|family|legal,0,0,0,0,1,1,,,coarse_context_only,"Documents retain broad medical, financial, legal, schedule, and family themes, but transformed details are too generalized for reliable linkage.","Direct identifiers and specific occupation, city, institution, event, education, and family details were removed or generalized.",0.78,True,"{
  ""top_signals"": [
    {
      ""signal"": ""information_removed"",
      ""evidence"": ""contact placeholders replace direct identifiers"",
      ""specificity"": ""high""
    },
    {
      ""signal"": ""medical"",
      ""evidence"": ""chronic health condition"",
      ""specificity"": ""low""
    },
    {
      ""signal"": ""schedule"",
      ""evidence"": ""availability constraint"",
      ""specificity"": ""low""
    },
    {
      ""signal"": ""family"",
      ""evidence"": ""family responsibility affects timing"",
      ""specificity"": ""low""
    },
    {
      ""signal"": ""legal"",
      ""evidence"": ""benefits appeal connected to education legal issue"",
      ""specificity"": ""medium""
    }
  ],
  ""would_match_without_role"": null,
  ""would_match_without_location"": null,
  ""residual_risk_category"": ""coarse_context_only"",
  ""residual_risk_summary"": ""Documents retain broad medical, financial, legal, schedule, and family themes, but transformed details are too generalized for reliable linkage."",
  ""utility_loss_summary"": ""Direct identifiers and specific occupation, city, institution, event, education, and family details were removed or generalized."",
  ""confidence"": 0.78,
  ""uncertain"": true
}"
